Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
"One car was coming from works main gate and taking turning right towards business centre, on the same time one bike was crossing the turning area straight from bistupur gate to works main gate. Since the car coming towards bike in speed, the biker applied sudden brakes, which resulting impact on bike, balance lost and he fell on the adjacent delineator.  This could have a serious incident if the biker has not applied sudden brake.",Vehicle Dashing,,,,,,,Main Road,,Person,Injury
Left over iron rod protruding from new parking stand was lying on the side of secondary exit . It s a potential source for damage to cars and people. Iron rod is in rusted condition( over 1 mtr length ) and should be removed immediately .,Poor Road Condition,,,,,,,Other Roads,Hit/trip,"Person, property","Injury, property damage"
A pedestrian has got stampede while going ahead to the Corporate Center at the time of getting onto the road adjacent to central water sprayer. It may have been occurred due to lower illumination ,Slippary Pathway,,,,,,,Other Roads,Stampede,person,injury
While going to Canteen Safety Poster fall down ,Slip /trip /fall,,,,,,,Main Road,fall/slip/trip,person,injury
At the entry gate road corners are damaged due to rain. At the time of entry vehicle Tyres were  slipping  due to slippery & uneven surface.  Road condition need to be improved.,Poor Road Condition,,,,,,,Other Roads,slip,"person, property","Injury, property damage"
"While shifting Mixer machine from JH-1 (Bottom Bin) to BRU (near NDCMP) which was loaded on Dumper, the Mixer machine got strucked below of OL-4 Conveyor Gallery. No property damged to OL-4 Conveyor Gallery as well as to Mixer machine. The Dumper was removed immediately.",Neglegent Driving,,,,,,,Main Road,,property,property damage
WHILE PARKING THE CAR AT PARKING PLACE BEHIND BUSINESS CENTRE MY CAR NERROWLY ESCAPED TO HIT THE RAMP AT FRONT.,Run Over,,,,,,,Other Roads,hit,property,property damage
A telephone wire was hanging loose and was at the height of a person travelling on the bike. The person who was travelling on the bike could have been entangled with the telephone wire and fall down but he was cautious and observed the wire. No injury /accident was observed.,Slip /trip /fall,,,,,,,Main Road,fell,"property, person","injury, property damage"
"While reversing dumper the rear wheel dashed over the culvert of slurry trench line, culvert damaged but bricks did not fall in to trench and nothing could happen slurry pipe.",Vehicle Dashing,,,,,,,Other Roads,dashing,property,property damage
Mr Alok ranjan employee of TSCR(IEM) was stopped his car due to red signal and waiting for green signal. When signal turned green he was started moving and another car of  vendor XY Enterprises working under Procurement dept came from left side and dashed his car. No any injury reported.,Vehicle Dashing,,,,,,,Main Road,,,
Fork lift of N.Kumar was going from main store to RMBB for unloading oil drum. On the way near L-Town gate traffic signal changed from green to red. All the front moving vehicle stopped for waiting green signal. In the mean time fork lift trying to entered in queue from left side & fork guard touched with front moving car of Zenith Engg. bearing V/code Z0005,Vehicle Dashing,,,,,,,Main Road,,"property, person","injury, property damage"
"Brief:-Crane F-15 no of T & Co was driving by D.K.Sah from LD#2 and had to go WRP road at  T office. Trailer no:- of M/s N Enterprises was driving S.K.Singh,GP:-1000141998 after unloading refractory material at refractory had to go out side works thru HSM gate working under When reached at WRP road near HSM gate Trailer driver took break. During this Driver cabin of trailer turned at right angle in his right side and hit the crane.damages front guard of crane and also driver cabin of trailer detached damaged mirror and hose pipe of trailer.No any injury.",Neglegent Driving,,,,,,,Main Road,,,
"Forklift operator was taking his forklift for maint. at their workshop. But  suddenly one of its hydraulic  hose pipe got burst, So oil get spread on his body. No injury due to PPEs.",Poor Vehicle condition,,,,,,,Main Road,,"person, environment","injury, environmental damage"
"On 22/11/2016 at 9.40 am, Mr MD Ershad, safety supervisor of M/s U Architect was going with bike on the road near to Joda West (Segregation Camp). Suddenly at four wheeler (white Fortuner car) came from opposite side at the blind curve. Mr MD Ershad was quick enough to react and stop his vehicle from dashing with the vehicle. The Fortuner car also stopped from the opposite side. Both the drivers saved themselves from getting injured and the vehicles.",Neglegent Driving,,,,,,,Other Roads,Dashing,"person, property","property damaged, injury"
"On 24/11/2016 at around 7.30 PM one trailer having number OR 09J6107 of M/s NB was carrying structural materials of loco shed to FLS fabrication yard. The structural materials (columns) was stacked one above the other. It was tied with chain over the trailer bed at two locations. When the trailer reached FAP main gate, the structural materials slipped from the top of trailer. However, no damage to the structural members occurred nor to any persons at the road. Mr Ravi Singh of M/s NN Singh who was going behind stopped the trailer and anchored the third chain with the structural members in order to prevent from falling from top of trailer bed.",Slip /trip /fall,,,,,,,Main Road,,property,peoperty damage
On 24/11/16 at 9:45 am Mr Manjit Singh (age 42)of M/s U Architect & Engg. Co. was travelling with his bike on the side of road. He tried to stop the bike seeing a stone in front. But he could not control himself and hit the stone with his bike. He controlled himself from falling on the ground.,Poor Road Condition,,,,,,,Other Roads,falling,property,property damaged
"On 25/11/16, Mr. MD Ershad safety in charge of M/s U Architect & Engg. Co. Pvt. Ltd. was riding his bike on the peripheral road. Suddenly a baby boy came in front of the bike unknowingly. Mr. Ershad controlled his gear and slowed down. The parents of the baby boy came and took the boy from the road.",High Speed,,,,,,,Other Roads,Hit,person,injury
One Tata 407 vehicle was carrying channels and angles and was going through the peripheral road. The channels and angles was projected outside the vehicle and was tied with rope only. One bike was coming from behind but he alerted himself of the projected channels and angles that was not tied properly otherwise he could have hit the projected members. The man slowed down the vehicle at that moment.,High Speed,,,,,,,Other Roads,hit,person,injury
"The driver (pic attached) was tying up the tarpaulin spread over the dalla of the hauling truck and while doing so due to some jerky movement of his on the top of the dalla, he was about to fall off the  dalla. We enquired and found the person was not drunk, he was supposed to doing all tying after the weighment is over but he was doing it before the weighing activity which was a voilation ",Slip /trip /fall,,,,,,,Main Road,slip/fall/trip,person,injury
 A Personal Car which comes from temple side  take a sudden left Turn without giving any indicator and horn   .... in mean time a our security four wheeler vehicle which going in guest house direction from TSRDS post side ... observe the movement of car and buzzed horn and stop it  before reaching the junction point.. both have a controlled and  speed was controlled......the four wheeler driver needs to slow and confirm from his side that their is no other vehicle coming before interring the main Road...,Neglegent Driving,,,,,,,Other Roads,collision,"person, property","injury, property damage"
Brief- He was coming from Central store & going to BOD Plant .the tanker was loaded with sodium carbonate. When he came near Drop gate the red signal was there .but he tried to go across &amp; then the Drop gate coming down &amp; he dashed to the Drop gate. Due to this his front glass of the Cabin got damaged.no any injury. Alcohol test done on the spot &amp; found o.k.,Vehicle Dashing,,,,,,,Main Road,,,
Truck of Maa kamakhaya Roadways was coming from 100 Ton weigh bridge near JMD gate after weighing &amp; had to go Ferro Alloy yard. When it reached near PH # 3 gate &amp; taking turn towards left it hit to a trailer of Shree Balaji Enterprises. In this process right side cabin door &amp; diesel tank of trailer got damage &amp; also front right guard of said truck got damaged. No injury,Vehicle Dashing,,,,,,,Main Road,,,
At dispatch gate no-2 truck no was waiting for clearance from security after unloading of the r/m JSPl coils. But the truck no which was cleared from the security was going from the side of the truck which was standing for clearance. As the space was less than also the driver tried to pass the truck but he dashed to the side Ashoka tree.,Vehicle Dashing,,,,,,,Main Road,,,
One personnel from QC Lab started his motor vehicle and was riding towards highway gate. At the same time the company SUMO was coming from highway gate towards the main entry gate. It was raining heavily and the visiblity for the person travelling with bike was less and thus he didnt see the sumo coming. The SUMO driver was alert and he was driving at the desired speed limit inside plant premises. He instantly applied the brakes and stood there and the person riding the bike turn the handle little bit and thus no collision occured.He nearly escaped from any incident/accident.,Neglegent Driving,,,,,,,Main Road,collision,"people, property","property damaged, injury"
