seed_num	seed	best_epoch	train_loss	train_perplexity	train_coherence	train_diversity
ALL	AVERAGE	7.4	278.91148986816404	2032.9234252929687	0.03439889433994742	0.9974999999999999
0	4212215202	9.0	276.85906982421875	1882.1124267578125	0.026445552250956295	1.0
1	3135002936	7.0	274.6231994628906	1772.4649047851562	0.04559912851768122	1.0
2	4064111256	9.0	274.05078125	1749.7029418945312	0.039154635392482956	1.0
3	1129439279	7.0	279.8751525878906	2056.5279541015625	0.03638384410924359	1.0
4	1441981252	9.0	273.913330078125	1738.6151733398438	0.019396831033921286	1.0
5	1142287759	4.0	289.1158142089844	2641.1273193359375	0.03910865360102784	0.975
6	3781562577	9.0	268.4443359375	1493.3096313476562	0.028963107430918122	1.0
7	1873927730	9.0	280.1188659667969	2065.1859741210938	0.03189007965481099	1.0
8	3055040318	3.0	292.3844299316406	2886.9205322265625	0.04432101387645511	1.0
9	1548963775	8.0	279.72991943359375	2043.2673950195312	0.032726097531976785	1.0
